Year,Country,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],"Adjusted net enrollment rate, primary (% of primary school age children) [SE.PRM.TENR]",Adjusted net national income (annual % growth) [NY.ADJ.NNTY.KD.ZG],Adjusted net national income (constant 2015 US$) [NY.ADJ.NNTY.KD],Adolescents out of school (% of lower secondary school age) [SE.SEC.UNER.LO.ZS],"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]",Adults (ages 15-49) newly infected with HIV [SH.HIV.INCD],Armed forces personnel (% of total labor force) [MS.MIL.TOTL.TF.ZS],Bank capital to assets ratio (%) [FB.BNK.CAPA.ZS],Children out of school (% of primary school age) [SE.PRM.UNER.ZS],"Contributing family workers, total (% of total employment) (modeled ILO estimate) [SL.FAM.WORK.ZS]",Consumer price index (2010 = 100) [FP.CPI.TOTL],Control of Corruption: Estimate [CC.EST],Cost of business start-up procedures (% of GNI per capita) [IC.REG.COST.PC.ZS],Coverage of social insurance programs (% of population) [per_si_allsi.cov_pop_tot],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"Current education expenditure, total (% of total expenditure in public institutions) [SE.XPD.CTOT.ZS]","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.BA.ZS]","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative) [SE.SEC.CUAT.UP.ZS]","Employment to population ratio, 15+, total (%) (modeled ILO estimate) [SL.EMP.TOTL.SP.ZS]",Expense (% of GDP) [GC.XPN.TOTL.GD.ZS],Gross savings (% of GDP) [NY.GNS.ICTR.ZS],Gross national expenditure (% of GDP) [NE.DAB.TOTL.ZS],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate) [SL.TLF.ACTI.1524.ZS]","Labor force, total [SL.TLF.TOTL.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Maternal mortality ratio (modeled estimate, per 100,000 live births) [SH.STA.MMRT]",Merchandise exports (current US$) [TX.VAL.MRCH.CD.WT],Merchandise imports (current US$) [TM.VAL.MRCH.CD.WT],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%) [SH.DYN.NCOM.ZS]",Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Unemployment with advanced education (% of total labor force with advanced education) [SL.UEM.ADVN.ZS],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]",Access to clean fuels and technologies for cooking (% of population) [EG.CFT.ACCS.ZS],"Cause of death, by injury (% of total) [SH.DTH.INJR.ZS]","Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",Control of Corruption: Number of Sources [CC.NO.SRC]
2015,Afghanistan,AFG,71.5,,,18572571196,,97.415,1000,3.700732407,9.232693676,,24.83871785,132.8832092,-1.354239821,19,,10.10534763,80.40733337,,9.792360306,42.924,37.02256957,,,-0.661709165,2.447563002,9.97526212,39.087,8630724,62.659,776,571000000,7723000000,43.34641937,0.994575823,35.6,-2.56262517,,9.002,,27.25,16.38996468,,11
2015,Albania,ALB,99.98,97.79873,0.400516697,9442334426,0.97201997,20.276,100,0.649676729,8.430987117,,29.69491969,111.3971641,-0.544385254,10.3,3.690489199,6.48361206,91.94541931,,,45.96,24.44617575,16.86397944,117.6244437,1.896174026,0.56399135,2.220309903,31.266,1308343,78.644,7,1917000000,4302000000,54.61561626,1.162303864,13.6,0.341639042,19.276,17.19,17.193,76.1,4.1268147,79.86441815,11
2015,Algeria,DZA,99.35619354,,-3.275969391,1.3283E+11,,11.888,1500,2.708967785,9.010556099,0.349510014,1.980729606,126.7366464,-0.639073312,10.9,,6.97849178,,,,37.033,,36.48792209,113.3515115,4.784447007,-6.455650414,1.380769964,25.174,11709257,75.622,89,34668000000,51702000000,52.03663294,6.270242856,14.3,-1.090786576,,11.21,11.206,99.6,8.263642029,,10
2015,American Samoa,ASM,,,,,,43.031,,,,,,,1.151810765,,,,,,,,,,,,1.469732765,7.786949073,,,,,379000000,675000000,156.6121842,,,1.151678085,,,,,,,1
2015,Andorra,AND,100,,,,9.436929703,7.402,,,,8.331549644,,,1.151810765,,,7.02324152,98.66561127,21.12911034,47.54520035,,,,,,0.660588959,0,,,,,90000000,1294000000,49.60782276,,,1.365985394,,,,100,,,1
2015,Angola,AGO,42,,-8.701824893,66790173500,,148.074,15000,1.006577251,9.440072184,,5.36916055,159.7025963,-1.427323461,17,,2.60579467,,1.997529984,17.43651009,63.656,20.81883162,24.81755493,103.3793202,9.353839725,-3.518385346,4.458235347,56.019,11623549,60.655,274,33181000000,20693000000,59.53163631,3.105426293,22.8,-0.505385816,,16.448,,47.4,8.486175792,,8
2015,Antigua and Barbuda,ATG,100,97.63492,,,1.450541973,34.834,,,3.046164622,0.871879995,,110.3197357,0.642890871,9.4,,5.27965546,,,,,,,,0.968993459,2.788170374,,,,77.913,27,66000000,449000000,35.81971901,,18.1,0.987564266,,,,100,5.208894895,,2
2015,Argentina,ARG,99.68903351,99.83682,5.265987552,5.07309E+11,1.066079974,65.395,5300,0.548376877,9.435091348,0.874790013,0.558567126,,-0.580868721,11.4,,10.22933674,89.2270813,,,54.739,25.00839323,14.3058273,101.074922,,26.5799916,6.558466154,38.703,19229476,76.76,39,56784000000,60205000000,19.67030526,0.850128583,16.5,0.008764135,,7.583,,99.8,6.212450527,,14
2015,Armenia,ARM,100,93.03258,-1.410651092,9466501710,,24.66,,3.441834056,11.85845016,0.371699989,0.296247742,124.7661613,-0.609267175,1,53.41842881,10.11762714,100,27.31002045,91.83743286,54.069,25.07798135,18.45377743,111.7579748,3.731691193,1.213909905,2.605438175,42.394,1426565,74.436,25,1485000000,3239000000,44.76309027,4.239225786,22.3,-0.256798655,17.529,12.308,18.261,97.4,4.417689703,,13
2015,Aruba,ABW,100,,,2511924645,,28.989,,,,,,103.4013646,1.248461127,,,,100,,,,,14.98840002,100.1278376,0.474763597,6.831286646,,,,75.683,,330000000,1250000000,53.32600247,,,1.21023953,,,,,,,2
